|NAME|FWHM_BROAD_HA|FWHM_BROAD_HA_ERR|SIGMA_BROAD_HA|SIGMA_BROAD_HA_ERR|Z_BROAD_HA|FWHM_BROAD_HB|FWHM_BROAD_HB_ERR|SIGMA_BROAD_HB|SIGMA_BROAD_HB_ERR|Z_BROAD_HB|FWHM_CIV|FWHM_CIV_ERR|SIGMA_CIV|SIGMA_CIV_ERR|BLUESHIFT_CIV_HA|BLUESHIFT_CIV_HA_ERR|BLUESHIFT_CIV_HB|BLUESHIFT_CIV_HB_ERR|LOGL5100|LOGL1350|
|J000039.00-001803.9|4655.0|406.0|1976.0|165.0|2.1412||||||7981.0|565.0|3589.0|286.0|2902.0|191.0|||45.864|46.162|
|J000344.92-232354.8||||||7585.0|347.0|4058.0|207.0|2.2779|6087.0|20.0|3976.0|3.0|||1096.0|194.0|46.963|47.366|
|J000500.42-003348.2|2661.0|103.0|2466.0|169.0|2.1848||||||5829.0|281.0|3872.0|113.0|2557.0|72.0|||46.07|46.373|
|J000500.53+010220.8|2539.0|116.0|2123.0|176.0|2.1326||||||7475.0|436.0|3759.0|202.0|3297.0|104.0|||46.131|46.469|
|J001016.49+001227.6|3426.0|114.0|2754.0|142.0|2.2841||||||6206.0|266.0|4383.0|142.0|1799.0|105.0|||46.268|46.41|
|J001919.31+010152.2|2607.0|114.0|2424.0|175.0|2.3167||||||3663.0|89.0|3418.0|79.0|1009.0|55.0|||46.092|46.433|
|J001954.66-091316.4|4560.0|84.0|3494.0|41.0|2.1242||||||4560.0|542.0|4265.0|148.0|485.0|119.0|||46.034|46.234|
|J002018.41-233653.8||||||4788.0|445.0|4102.0|98.0|2.2935|3182.0|99.0|3228.0|104.0|||512.0|195.0|46.675|47.078|
|J002110.90-242247.2||||||4229.0|150.0|3395.0|127.0|2.2597|6801.0|291.0|3693.0|124.0|||570.0|104.0|46.551|46.954|
|J002329.60-003219.8|2909.0|234.0|2503.0|451.0|2.3989||||||5329.0|291.0|3559.0|204.0|1552.0|125.0|||46.052|46.335|
|J002948.04-095639.4|2914.0|32.0|2259.0|47.0|1.6163|3455.0|298.0|3374.0|377.0|1.616|3938.0|213.0|3211.0|135.0|549.0|48.0|516.0|140.0|46.205|46.315|
|J002952.12+020607.1||||||4847.0|227.0|3685.0|79.0|2.3421|3277.0|83.0|3398.0|47.0|||844.0|81.0|46.059|46.682|
|J004149.64-094705.0|5475.0|133.0|3262.0|64.0|1.6315||||||6899.0|278.0|4126.0|62.0|1218.0|56.0|||46.366|46.792|
|J004417.12-311436.0||||||4075.0|85.0|3028.0|39.0|2.3616|4787.0|237.0|3570.0|122.0|||1580.0|59.0|46.401|46.804|
|J004613.48+002358.0|3103.0|320.0|2754.0|627.0|2.1299||||||5744.0|198.0|3789.0|144.0|2314.0|138.0|||45.982|46.387|
|J005202.40+010129.2|4473.0|79.0|2932.0|58.0|2.2801||||||6518.0|125.0|4095.0|53.0|1710.0|42.0|||46.593|46.968|
|J005202.51+010130.5||||||4672.0|122.0|4325.0|78.0|2.2743|6551.0|199.0|4025.0|61.0|||1295.0|49.0|46.593|46.968|
|J005454.84-004244.0|3322.0|112.0|2439.0|253.0|2.2249||||||4955.0|100.0|3668.0|62.0|1685.0|48.0|||46.345|46.668|
|J005546.77-635853.7||||||5421.0|180.0|3825.0|106.0|2.2463|8074.0|613.0|3192.0|188.0|||2610.0|162.0|46.508|46.91|
|J005717.37-000113.2|5454.0|448.0|2307.0|180.0|2.1556||||||6599.0|530.0|2788.0|211.0|642.0|144.0|||45.749|46.256|
|J011143.62-350300.4||||||3176.0|489.0|2376.0|388.0|2.4051|2504.0|53.0|2399.0|21.0|||719.0|142.0|46.92|47.322|
|J011827.98-005239.9|3222.0|27.0|2613.0|36.0|2.1953|3487.0|263.0|4016.0|265.0|2.1972|5770.0|169.0|3432.0|166.0|1995.0|60.0|2168.0|146.0|46.262|46.581|
|J012417.38-374422.9||||||4143.0|309.0|4204.0|482.0|2.1974|8227.0|47.0|3661.0|21.0|||3473.0|134.0|46.724|47.127|
|J012656.07-320810.7||||||4597.0|264.0|3460.0|193.0|2.232|6374.0|401.0|3834.0|122.0|||1786.0|168.0|46.564|46.967|
|J013014.30-000639.2|3600.0|395.0|2759.0|461.0|2.4298||||||10339.0|1763.0|3603.0|654.0|5550.0|208.0|||46.181|46.712|
|J013929.51+001330.8|3994.0|51.0|2798.0|45.0|2.1026|4074.0|95.0|2680.0|40.0|2.102|3803.0|194.0|3253.0|110.0|384.0|37.0|326.0|42.0|45.856|46.37|
|J014705.42+133210.0|4108.0|67.0|2666.0|41.0|1.5965|4282.0|302.0|3048.0|335.0|1.5958|5222.0|190.0|2981.0|139.0|1426.0|35.0|1339.0|117.0|46.37|46.57|
|J014809.64-001017.7|4303.0|66.0|3107.0|27.0|2.1716|5073.0|193.0|4044.0|176.0|2.1684|5537.0|182.0|3840.0|65.0|2547.0|42.0|2246.0|116.0|46.306|46.623|
|J014944.43+150106.6|3589.0|86.0|2593.0|110.0|2.0725||||||6252.0|91.0|4211.0|28.0|1355.0|29.0|||46.554|46.813|
|J015733.87-004824.4|4347.0|639.0|2619.0|239.0|1.5514||||||7406.0|442.0|4112.0|96.0|561.0|99.0|||45.865|46.325|
|J020044.50+122319.1|3818.0|96.0|2576.0|261.0|1.6546||||||3735.0|179.0|3355.0|146.0|217.0|72.0|||46.132|46.443|
|J020143.48+003222.7||||||10604.0|510.0|4129.0|135.0|2.2918|4375.0|246.0|3498.0|182.0|||-134.0|163.0|45.688|46.102|
|J020327.29+003938.1|4471.0|449.0|2515.0|189.0|2.3015||||||4845.0|108.0|4224.0|62.0|1290.0|69.0|||46.158|46.381|
|J020505.80+011415.8|4130.0|1121.0|2493.0|448.0|2.2393||||||6499.0|188.0|3898.0|141.0|2430.0|362.0|||46.046|46.307|
|J020902.86-082531.8|4557.0|61.0|2960.0|44.0|2.1383|5493.0|174.0|3751.0|262.0|2.136|6679.0|397.0|3566.0|390.0|1856.0|158.0|1633.0|216.0|45.996|46.44|
|J023359.72+004938.5|3110.0|146.0|2651.0|166.0|2.5322|3913.0|320.0|3648.0|231.0|2.5352|5992.0|123.0|4059.0|48.0|2141.0|61.0|2390.0|139.0|46.533|46.894|
|J024008.24-230915.2||||||6471.0|57.0|3503.0|41.0|2.2311|6406.0|276.0|3814.0|139.0|||1565.0|106.0|47.05|47.453|
|J024650.93-004457.3|2157.0|127.0|974.0|531.0|2.1914||||||5435.0|399.0|3129.0|185.0|3312.0|146.0|||45.869|46.184|
|J025644.82+001247.1||||||5610.0|259.0|3944.0|121.0|2.2593|6751.0|137.0|3947.0|44.0|||1038.0|85.0|46.377|46.811|
|J025905.63+001121.9||||||4346.0|129.0|2971.0|141.0|3.3725|3611.0|41.0|3298.0|30.0|||642.0|79.0|46.69|47.078|
|J030449.85-000813.4||||||3309.0|33.0|2882.0|39.0|3.2896|2192.0|28.0|3182.0|58.0|||583.0|16.0|46.714|47.242|
|J031404.44-003947.3|1951.0|90.0|1559.0|92.0|2.1148||||||6855.0|793.0|3662.0|141.0|3623.0|129.0|||46.093|46.289|
|J032158.40-001102.6|4331.0|136.0|2815.0|126.0|2.153||||||5103.0|160.0|3664.0|97.0|781.0|50.0|||45.937|46.289|
|J034145.86-264936.9||||||4717.0|189.0|3811.0|86.0|2.3191|3312.0|242.0|3273.0|284.0|||836.0|100.0|46.609|47.012|
|J040954.19-041137.0|4160.0|48.0|2838.0|21.0|2.1919|4205.0|38.0|3674.0|24.0|2.1943|5018.0|83.0|3580.0|50.0|781.0|26.0|1011.0|27.0|46.539|46.732|
|J041255.16-061210.3|3471.0|68.0|2390.0|129.0|1.6937||||||6597.0|185.0|3210.0|103.0|2192.0|53.0|||46.161|46.639|
|J045523.05-421617.4|3394.0|200.0|2390.0|1057.0|2.6659|3542.0|278.0|2214.0|464.0|2.6652|3524.0|32.0|3268.0|39.0|824.0|60.0|767.0|139.0|46.958|47.361|
|J045754.37-181914.7||||||2310.0|86.0|1781.0|88.0|1.5293|2987.0|310.0|2089.0|596.0|||817.0|97.0|46.183|46.586|
|J073813.19+271038.1|3230.0|88.0|2636.0|274.0|2.4391||||||2246.0|42.0|2879.0|78.0|15.0|30.0|||46.106|46.374|
|J074029.82+281458.5|3962.0|134.0|2672.0|113.0|1.5454||||||5645.0|139.0|3831.0|62.0|1002.0|54.0|||46.172|46.387|
|J074352.61+245743.6|5812.0|547.0|3827.0|166.0|2.166||||||6019.0|528.0|3900.0|322.0|650.0|220.0|||46.021|46.049|
|J080150.95+113455.6||||||8778.0|454.0|3614.0|182.0|2.3863|4450.0|345.0|3838.0|62.0|||290.0|115.0|46.142|46.67|
|J080651.54+245526.3|4043.0|208.0|1717.0|685.0|2.1542||||||3463.0|336.0|3457.0|179.0|390.0|123.0|||46.098|46.034|
|J081344.15+152221.5|3563.0|80.0|2572.0|72.0|1.5473|4067.0|662.0|3475.0|659.0|1.5448|5598.0|453.0|3849.0|139.0|1947.0|127.0|1655.0|264.0|46.198|46.383|
|J081701.91+385936.3|2395.0|44.0|1018.0|19.0|2.2387||||||4886.0|211.0|3257.0|87.0|1328.0|48.0|||46.051|46.329|
|J082146.22+571226.0|3762.0|79.0|2583.0|51.0|1.5467|4390.0|419.0|3617.0|392.0|1.5462|4754.0|93.0|2414.0|74.0|1719.0|61.0|1660.0|194.0|46.42|46.629|
|J082644.70+163548.0|3141.0|72.0|2978.0|70.0|2.1915|5293.0|428.0|3766.0|610.0|2.1917|2513.0|42.0|3297.0|32.0|601.0|19.0|617.0|167.0|46.715|46.815|
|J083850.15+261105.4|3848.0|131.0|2202.0|230.0|1.6184||||||4160.0|174.0|3636.0|57.0|1136.0|61.0|||46.771|47.034|
|J084159.25+392139.9||||||3937.0|1470.0|4586.0|1015.0|2.2107|3043.0|79.0|3434.0|54.0|||163.0|422.0|45.527|45.745|
|J084451.91+282607.5|2725.0|102.0|2344.0|750.0|1.5746||||||5258.0|106.0|3623.0|119.0|1296.0|55.0|||45.985|46.172|
|J085437.59+031734.8|4434.0|502.0|3138.0|310.0|2.2373||||||3952.0|406.0|3469.0|125.0|-405.0|162.0|||46.319|46.251|
|J085856.00+015219.4|3152.0|88.0|3885.0|131.0|2.169||||||8315.0|284.0|5292.0|93.0|4327.0|80.0|||46.438|46.807|
|J091208.75+005857.3|4733.0|10.0|2879.0|14.0|2.1879|5271.0|56.0|2239.0|23.0|2.1886|2803.0|130.0|3451.0|65.0|511.0|27.0|581.0|30.0|46.078|46.427|
|J091432.01+010912.4|3539.0|78.0|2081.0|74.0|2.1437|5678.0|182.0|2411.0|190.0|2.1476|2702.0|37.0|3489.0|30.0|205.0|24.0|579.0|62.0|45.383|45.763|
|J091754.44+043652.1|4870.0|48.0|2787.0|16.0|1.5912||||||4661.0|162.0|3327.0|125.0|309.0|40.0|||45.676|45.886|
|J092747.27+290720.6||||||3132.0|119.0|3772.0|129.0|2.314|7035.0|348.0|3609.0|200.0|||3257.0|127.0|46.042|46.385|
|J092914.49+282529.2||||||6943.0|403.0|3719.0|304.0|3.4169|5979.0|102.0|3872.0|57.0|||2080.0|264.0|46.879|47.26|
|J092952.17+355449.8|5211.0|531.0|3061.0|133.0|2.1622|5535.0|480.0|4195.0|392.0|2.1635|6479.0|129.0|4040.0|82.0|2750.0|65.0|2877.0|145.0|46.613|47.082|
|J093226.34+092526.1||||||3130.0|476.0|3482.0|95.0|2.4188|1960.0|81.0|2663.0|61.0|||208.0|72.0|45.328|45.883|
|J093318.49+141340.1|5925.0|50.0|2799.0|29.0|1.5619|6174.0|469.0|2620.0|252.0|1.5629|5346.0|101.0|3786.0|40.0|335.0|27.0|452.0|196.0|46.216|46.312|
|J093337.28+284532.4||||||6063.0|520.0|3889.0|286.0|3.4291|4831.0|95.0|3505.0|41.0|||329.0|272.0|46.977|46.855|
|J093849.67+090509.7|4578.0|222.0|3065.0|63.0|2.2602|4849.0|360.0|4274.0|456.0|2.2604|7375.0|188.0|4289.0|52.0|2158.0|50.0|2171.0|155.0|46.52|46.925|
|J094126.49+044328.7|6133.0|34.0|3149.0|7.0|1.5675|6019.0|115.0|3453.0|94.0|1.5668|4492.0|246.0|3378.0|155.0|24.0|47.0|-66.0|91.0|46.027|46.203|
|J094202.04+042244.5||||||4172.0|325.0|3896.0|295.0|3.2794|3328.0|64.0|3245.0|52.0|||860.0|117.0|47.129|47.322|
|J094206.96+352307.3|2426.0|63.0|2061.0|511.0|2.022|3657.0|416.0|3344.0|530.0|2.021|2757.0|42.0|3262.0|48.0|318.0|24.0|218.0|58.0|46.174|46.54|
|J094913.05+175155.9|4008.0|50.0|2358.0|95.0|1.6766||||||6899.0|277.0|3853.0|84.0|2498.0|50.0|||46.363|46.638|
|J100246.85+002104.0|4575.0|113.0|3108.0|51.0|2.1762|4215.0|202.0|4017.0|131.0|2.1733|5576.0|161.0|3537.0|101.0|1563.0|50.0|1283.0|87.0|46.34|46.687|
|J100401.27+423123.1|3612.0|232.0|2299.0|237.0|1.6679||||||6464.0|146.0|3255.0|124.0|2798.0|64.0|||46.435|46.99|
|J101001.50+403755.5|3857.0|90.0|2559.0|60.0|2.19|4991.0|569.0|3858.0|281.0|2.1895|5223.0|171.0|3500.0|119.0|1231.0|62.0|1191.0|129.0|45.955|46.423|
|J101447.54+521320.2|3476.0|46.0|2413.0|73.0|1.5521|3661.0|349.0|2942.0|580.0|1.5511|4526.0|118.0|3424.0|78.0|1067.0|31.0|939.0|137.0|46.181|46.544|
|J101504.75+123022.2|2980.0|252.0|2336.0|339.0|1.7072||||||8277.0|355.0|3437.0|68.0|3972.0|81.0|||46.305|46.64|
|J101859.96-005420.2|2528.0|27.0|2360.0|35.0|2.1837|3603.0|111.0|3664.0|58.0|2.1833|1936.0|25.0|3001.0|43.0|226.0|8.0|185.0|34.0|46.141|46.447|
|J101908.26+025431.9||||||7363.0|596.0|3891.0|92.0|3.3845|6859.0|301.0|3791.0|89.0|||1744.0|135.0|46.434|46.971|
|J102457.57-001740.4||||||4693.0|153.0|3792.0|365.0|1.5009|5337.0|97.0|3855.0|40.0|||1256.0|143.0|46.316|46.592|
|J102906.66+020500.0|4041.0|26.0|2705.0|54.0|2.1418|5169.0|237.0|3618.0|99.0|2.1407|3062.0|175.0|3495.0|146.0|865.0|48.0|762.0|98.0|46.027|46.315|
|J103325.93+012836.3|2937.0|13.0|2420.0|20.0|2.1845|2862.0|109.0|2315.0|328.0|2.184|3901.0|117.0|3504.0|73.0|1149.0|32.0|1103.0|74.0|46.214|46.489|
|J103456.31+035859.4||||||5819.0|188.0|3818.0|57.0|3.393|6069.0|163.0|3617.0|117.0|||2452.0|74.0|46.958|47.031|
|J103857.37+502707.9||||||4927.0|360.0|3701.0|372.0|3.1347|5460.0|267.0|3857.0|128.0|||1213.0|129.0|46.285|46.435|
|J104121.89+563001.3|3541.0|156.0|2344.0|119.0|2.0583||||||6892.0|152.0|3806.0|68.0|2161.0|54.0|||46.068|46.595|
|J104121.89+563001.3||||||4977.0|668.0|4071.0|324.0|2.0549|6879.0|174.0|3681.0|74.0|||2050.0|162.0|46.054|46.603|
|J104603.22+112828.1|4660.0|29.0|2805.0|9.0|1.6048|5341.0|113.0|3793.0|27.0|1.6014|4991.0|182.0|3570.0|140.0|687.0|53.0|295.0|63.0|46.045|46.123|
|J104910.31+143227.1|2687.0|27.0|2291.0|33.0|1.5396|3295.0|526.0|3162.0|389.0|1.5395|4671.0|80.0|3165.0|59.0|798.0|21.0|791.0|170.0|46.062|46.17|
|J104915.44-011038.1|3370.0|21.0|2711.0|27.0|2.1319|3875.0|64.0|3781.0|57.0|2.1314|7657.0|174.0|4391.0|90.0|3057.0|52.0|3007.0|64.0|46.43|46.732|
|J105158.74+401736.7|3631.0|57.0|2784.0|42.0|2.1893||||||8693.0|260.0|4242.0|100.0|4127.0|68.0|||46.805|47.18|
|J105951.05+090905.7||||||4835.0|517.0|2997.0|307.0|1.6872|2540.0|59.0|3356.0|46.0|||286.0|44.0|46.551|46.75|
|J110240.16+394730.1|4325.0|77.0|2423.0|92.0|1.6644|5192.0|504.0|3882.0|221.0|1.6663|6711.0|176.0|3801.0|55.0|1465.0|42.0|1680.0|142.0|46.192|46.395|
|J110454.73+095714.8|3150.0|338.0|2613.0|354.0|2.4118||||||3590.0|88.0|3261.0|76.0|-290.0|103.0|||45.811|46.09|
|J110610.74+640009.6|4841.0|38.0|3114.0|22.0|2.2169|6235.0|261.0|4093.0|143.0|2.22|7953.0|193.0|4281.0|71.0|2929.0|44.0|3214.0|134.0|46.864|47.408|
|J110915.92-115449.2||||||3459.0|387.0|2286.0|97.0|2.3201|6720.0|1030.0|3163.0|380.0|||2370.0|298.0|46.468|46.87|
|J111245.70+661215.4||||||5230.0|296.0|3960.0|126.0|2.2553|5837.0|340.0|3860.0|133.0|||1002.0|108.0|45.754|46.057|
|J111350.93+401721.4|3259.0|133.0|2574.0|99.0|2.1949||||||7389.0|279.0|3777.0|81.0|2418.0|64.0|||46.727|46.927|
|J111949.30+233249.1|5474.0|46.0|2844.0|32.0|1.6262|5654.0|366.0|2401.0|160.0|1.6251|3239.0|129.0|2837.0|147.0|724.0|59.0|599.0|119.0|46.325|46.2|
|J112442.87-170517.5|4526.0|306.0|2969.0|249.0|2.413|4544.0|163.0|3296.0|176.0|2.4104|5318.0|12.0|4075.0|3.0|1378.0|37.0|1151.0|67.0|47.063|47.466|
|J112542.29+000101.3|3561.0|20.0|2711.0|14.0|1.6924|4300.0|126.0|3380.0|141.0|1.6896|2124.0|30.0|2848.0|78.0|112.0|23.0|-193.0|30.0|46.319|46.476|
|J112617.40-012632.6||||||3054.0|434.0|3226.0|550.0|3.6212|3747.0|178.0|3600.0|177.0|||1339.0|259.0|46.306|46.636|
|J113334.23+130553.2||||||5126.0|293.0|4012.0|245.0|3.6789|7132.0|432.0|3583.0|118.0|||1707.0|116.0|46.671|47.056|
|J114023.40+301651.5|4024.0|132.0|2818.0|43.0|1.6004|4611.0|302.0|3803.0|327.0|1.6012|6019.0|163.0|3914.0|66.0|2015.0|44.0|2112.0|152.0|46.485|46.793|
|J114254.26+265457.5|4720.0|228.0|3352.0|189.0|2.633||||||5631.0|114.0|3797.0|39.0|1718.0|88.0|||46.984|47.388|
|J115301.60+215117.5|3087.0|31.0|2677.0|27.0|2.3718|3678.0|236.0|3765.0|311.0|2.3758|6384.0|117.0|4004.0|55.0|2410.0|32.0|2766.0|138.0|46.924|47.304|
|J115538.60+053050.7||||||6609.0|439.0|3116.0|179.0|3.4685|2626.0|52.0|3202.0|73.0|||455.0|128.0|46.766|47.019|
|J120044.94-185944.5|5538.0|221.0|3131.0|104.0|2.4529|7351.0|630.0|4461.0|351.0|2.4536|3616.0|67.0|2672.0|12.0|508.0|51.0|573.0|229.0|46.89|47.293|
|J120147.91+120630.3||||||4746.0|464.0|3216.0|394.0|3.5391|4987.0|116.0|3327.0|49.0|||1524.0|164.0|46.937|47.332|
|J120818.84-045905.7||||||3216.0|111.0|4237.0|334.0|2.3284|6772.0|724.0|3675.0|198.0|||2512.0|160.0|46.434|46.836|
|J121117.59+042222.3|3482.0|98.0|2359.0|148.0|2.5456|5183.0|284.0|3424.0|174.0|2.5475|4990.0|115.0|3434.0|77.0|1002.0|48.0|1162.0|158.0|46.502|46.777|
